#	size	1                   	2                   	3                   	4                   	5                   	6                   	7                   	8                   	9                   	10                  	average             	average(s:ms)
173	873 	60002.000;1713044;0 	60001.000;1714442;0 	60002.000;1718232;0 	60002.000;1723994;0 	60001.000;1722396;0 	60001.000;1723790;0 	60002.000;1724525;0 	60001.000;1726195;0 	60002.000;1729029;0 	60001.000;1725008;0 	60001.5;1722065     	60:1;0.0  
174	878 	60002.000;2370044;0 	60002.000;2375054;0 	60001.000;2377316;0 	60002.000;2377008;0 	60001.000;2376115;0 	60002.000;2374802;0 	60001.000;2376913;0 	60001.000;2374959;0 	60002.000;2375257;0 	60002.000;2370491;0 	60001.6;2374795     	60:1;0.0  
175	883 	60001.000;2119502;0 	60002.000;2123721;0 	60002.000;2119404;0 	60002.000;2131624;0 	60001.000;2126764;0 	60002.000;2129699;0 	60001.000;2132290;0 	60002.000;2126734;0 	60001.000;2133508;0 	60002.000;2132174;0 	60001.6;2127542     	60:1;0.0  
176	888 	60002.000;1059955;0 	60002.000;1062470;0 	60001.000;1060916;0 	60002.000;1060405;0 	60001.000;1063493;0 	60002.000;1062475;0 	60002.000;1062300;0 	60002.000;1059560;0 	60001.000;1061568;0 	60001.000;1059997;0 	60001.6;1061313     	60:1;0.0  
177	893 	32622.000;1268212;1 	32773.000;1268212;1 	32716.000;1268212;1 	32799.000;1268212;1 	32775.000;1268212;1 	32624.000;1268212;1 	32721.000;1268212;1 	32761.000;1268212;1 	32746.000;1268212;1 	32760.000;1268212;1 	32729.7;1268212     	32:729;1.0
178	898 	60002.000;2162792;0 	60002.000;2167845;0 	60001.000;2162593;0 	60002.000;2170950;0 	60002.000;2170365;0 	60002.000;2164022;0 	60002.000;2166831;0 	60002.000;2166892;0 	60001.000;2165906;0 	60002.000;2173435;0 	60001.8;2167163     	60:1;0.0  
179	903 	60002.000;1793706;0 	60002.000;1802437;0 	60002.000;1806624;0 	60001.000;1796473;0 	60002.000;1799158;0 	60002.000;1799144;0 	60002.000;1804031;0 	60001.000;1798087;0 	60002.000;1799343;0 	60001.000;1797099;0 	60001.7;1799610     	60:1;0.0  
180	908 	60002.000;2020705;0 	60002.000;2020726;0 	60001.000;2021001;0 	60002.000;2019765;0 	60002.000;2019568;0 	60002.000;2018485;0 	60002.000;2028758;0 	60002.000;2022694;0 	60002.000;2018792;0 	60002.000;2020647;0 	60001.9;2021114     	60:1;0.0  
181	913 	814.000;24851;1     	809.000;24851;1     	806.000;24851;1     	793.000;24851;1     	826.000;24851;1     	804.000;24851;1     	787.000;24851;1     	817.000;24851;1     	794.000;24851;1     	799.000;24851;1     	804.9;24851         	0:804;1.0 
182	918 	60001.000;1860346;0 	60002.000;1859972;0 	60002.000;1862020;0 	60001.000;1856425;0 	60002.000;1860746;0 	60002.000;1852008;0 	60002.000;1857181;0 	60002.000;1857192;0 	60002.000;1853989;0 	60002.000;1859801;0 	60001.8;1857968     	60:1;0.0  
