42.27	42.47	37.14	44.61	34.7	39.55	38.24	42.58	41.36	36.18	31.82	32.38	46.63	37.44	47.69	39.17	33.33	35.05	39.11	42.05	37.09	36.79	38.35	41.58	33.99	51.91	43.46	34.57	48.96	49.46	35.75	47.06	38.46	41.14	37.89	58.18	41.29	42.48	53.06	46.67	43.1	35.71	38.1	38.58	41.6	34.51	50	40	38	27.27	47.5	36.25	31.25	28.95	48.72	55.26	51.35	28.79	43.08	56.25	43.64	45.45	41.51	56.6	45.1	38.78	58.54	52.63	53.57	50	55.56	58.33	56	54.17	26.09	36.36	40	30
40.71	41.11	31.06	35.93	28.51	40.32	35.74	38.91	38.89	34.78	26.77	36.12	34.32	39.74	47.39	38.11	27.73	32.08	34.02	33.89	29.15	35.29	32.33	35.65	33.16	36.32	37.5	40.89	49.49	32.12	30.05	42.7	34.08	31.02	38.07	40.98	34.18	45.75	33.56	31.65	41.73	35.07	32.35	37.8	53.57	43.48	41.03	36.79	38.68	28.72	39.02	40.51	48.15	34.72	44.12	48.72	56.76	36.36	48.48	43.75	48.28	46.43	33.96	38.89	29.41	44.9	46.34	55	23.33	57.14	40.74	62.5	52	62.5	45.83	40.91	75	52.94
45	39.5	43.1	40.96	31	47.5	41	39.15	40	44	30.05	37.04	39.67	44.5	42.78	38	36	33.7	39.27	44.51	40.22	36.6	33.51	40.98	36.84	40.91	61.36	41.71	42.46	41.42	45.03	39.53	46.15	36	40	53.16	32.65	52.38	51.35	37.5	35.07	34.15	26.72	31.3	39.82	36.19	44.44	45.19	42.27	42.17	46.75	29.33	40.74	42.67	38.46	41.89	60.81	37.7	28.07	53.12	22	58.18	34	39.62	50.98	48.98	53.66	47.5	37.93	53.57	40.74	25	48	50	41.67	50	35.29	44.44
10.6	20.56	29.02	23.31	31.8	11.71	16.6	23.06	15.15	12.74	29.03	22.2	25.79	18.63	8.46	11.69	23.87	10	15.67	20.06	14.39	13.49	19.69	28.86	25.95	26.47	13.1	20.27	10	24.55	21.76	12.26	25.13	19.9	30.61	24.32	12.71	22.73	18.92	26.55	15.94	30.43	24	27.14	19.84	14.86	25.26	8.93	22.22	25	25.58	16.22	28.75	11.11	23.61	57.14	16.67	71.43	38.64	14.52	20	11.54	41.07	55.56	43.75	24.49	27.5	37.5	14.29	37.04	37.04	42.31	60	45.45	45.45	14.29	55	31.58
10.62	21.53	26.65	17.15	23.99	13.27	11.5	25	24.44	12.09	27.78	19.06	17.31	14.85	19.72	15.79	21.74	11.28	13.53	18.45	15.93	13.25	14.89	18.14	24.47	24.32	12.67	17.76	10.45	23.31	24.06	13.91	21.62	24.15	26.39	25.58	12.5	18.26	7.79	34.21	19.74	23.96	21.26	21.9	18.18	24.44	37.5	12.12	34.15	25	25.58	8.75	26.32	10.34	13.51	14.29	12.5	24.39	30.56	31.25	22	23.81	24.56	40	34.48	31.25	33.33	42.42	37.5	35	33.33	30.77	50	66.67	31.25	38.1	31.58	36.84
43.72	48.24	40.2	45.73	40.61	47.74	33.17	41.21	32.16	48.5	32.99	43.65	40.2	35.94	38.62	33.51	41.81	33.33	33.67	38.34	37.64	31.82	38.83	46.07	35.94	26.97	42.29	30.73	44.51	49.35	49.71	32.35	53.89	36.36	44.51	30.71	48.25	61.15	49.21	51.97	35.34	45.74	34.07	45.74	47.06	48.04	47.79	33.02	37.11	41.25	42.31	39.71	46.91	38.67	33.33	33.33	35.14	44.64	49.12	48.44	56.86	54.9	37.74	29.41	48.08	51.02	43.59	57.5	46.43	50	33.33	68.18	45.83	54.17	25	38.1	52.63	42.11
41.09	42.57	29.57	48.54	19.8	40.59	38.14	27.08	40.8	46.53	26.26	28.72	36.41	30.98	41.12	39.79	31.31	31.12	41.15	34.5	31.28	43.32	24.34	25.95	30.51	38.62	55.03	32.39	60.8	30.73	44.31	38.92	45.4	42.33	35.12	52.76	53.02	41.38	54.23	33.09	31.54	30.58	36.36	35.82	38.54	36.36	41.67	34.02	36.89	27.06	43.48	28.57	32.47	35	37.18	42.11	43.48	43.94	37.88	51.79	57.63	62.07	50	41.82	35.29	66.67	39.02	32.43	40	46.43	55.56	70.83	40	45.83	43.48	31.82	38.46	44.44
34.63	46.73	47.47	37.23	35.5	36.8	31.74	41.56	34.58	30.84	32.03	39.38	37.22	44.16	45.83	36.68	37.44	38.05	37.67	50.93	50	34.45	39.37	43.58	55.28	32.09	32.98	40.66	53.96	44.62	42.33	41.71	52.22	38.51	43.82	37.5	42.96	49.03	36	44.06	47.29	36.76	30.37	41.22	34.68	35.96	44.34	35.92	46.23	23.4	40.74	28.95	41.98	57.81	36.67	46.15	44.44	43.55	53.85	53.12	51.02	58.82	43.86	47.22	55.77	41.67	58.97	40	42.31	53.57	33.33	50	40	65.22	50	77.27	60	31.58
38.95	45.2	29.39	39.49	33.98	46.62	42.97	39.78	46.43	41.58	28.1	26.85	38.52	38.81	48.15	42.22	35.96	39.85	45.95	37.16	32.06	38.91	36.89	43.93	41.7	42.34	51.96	35.32	59.15	46.28	43.26	45.92	37.3	36.2	46.39	44.13	41.45	42	41.72	48.06	42.22	36.76	30.07	34.65	44.64	50	41.74	37.72	43.75	40.43	53.66	40.79	35.8	38.75	39.19	37.18	52.05	45.9	54.55	62.5	50.85	46.94	32.08	56.6	52.94	46.67	39.02	50	64.29	50	56	56.52	68	75	54.17	50	52.94	33.33
41.37	39.39	36.51	35.74	37.34	33.33	31.33	35.37	39.26	36.36	35.27	26.78	36.02	38.75	41.63	35.47	34.04	30.26	39.48	33.19	35.59	34.36	36.16	39.64	31.8	34.74	35.75	33.66	58.13	41.08	36.76	30.34	28.73	46.29	30.64	36.36	30.26	37.67	42.86	33.33	36.69	33.59	36.92	39.42	30.17	37.61	46.79	31.82	38.32	39.33	27.03	27.27	37.04	34.67	33.33	48.65	31.08	32.31	40	40.62	37.29	41.38	44.44	52.83	32.69	37.5	39.02	72.5	33.33	39.29	33.33	41.67	47.83	69.57	29.17	21.05	55	63.16
